pagina,id,titulo,link,tipologia,estado,tamanho,preco,preco_antigo,desconto,preco_por_metro,localizacao,data_publicacao
2,4,"Ver Apartamento para comprar na Amadora, Mina de Água",https://casa.sapo.pt/comprar-apartamento-t3-amadora-mina-de-agua-6600ecd5-663b-11f0-8add-060000000054.html,,Renovado,65.0,289000.0,,,4446.15,"Mina de Água, Amadora, Distrito de Lisboa",
2,5,"Ver Apartamento T2 para comprar na Amadora, Venteira",https://casa.sapo.pt/comprar-apartamento-t2-amadora-venteira-e15ba364-9228-11f0-8add-060000000054.html,T2,Usado,107.0,450000.0,,,4205.61,"Venteira, Amadora, Distrito de Lisboa",
2,6,"Ver Apartamento T2 para comprar na Amadora, Venteira",https://casa.sapo.pt/comprar-apartamento-t2-amadora-venteira-fb783d93-9227-11f0-8add-060000000054.html,T2,Usado,103.0,430000.0,,,4174.76,"Venteira, Amadora, Distrito de Lisboa",
2,7,"Ver Apartamento T3 para comprar na Amadora, Venteira",https://casa.sapo.pt/comprar-apartamento-t3-amadora-venteira-851cc409-9227-11f0-8add-060000000054.html,T3,Usado,135.0,605000.0,,,4481.48,"Venteira, Amadora, Distrito de Lisboa",
2,8,"Ver Apartamento T2 para comprar / permutar na Amadora, Encosta do Sol, Colina do Sol (Alfornelos)",https://casa.sapo.pt/comprar-permutar-apartamento-t2-amadora-encosta-do-sol-colina-do-sol-(alfornelos)-990614cd-b87c-11ef-9e0e-060000000057.html,T2,Usado,75.0,230000.0,,,3066.67,"Colina do Sol (Alfornelos), Encosta do Sol, Amadora, Distrito de Lisboa",
2,9,"Ver Apartamento T1+2 para comprar na Amadora, Mina de Água",https://casa.sapo.pt/comprar-apartamento-t1-amadora-mina-de-agua-e70df271-8ab5-4f89-9f4c-ff047a5e19f6.html,T1,Usado,60.0,289000.0,,,4816.67,"Mina de Água, Amadora, Distrito de Lisboa",
2,10,"Ver Apartamento T3 para comprar na Amadora, Mina de Água",https://casa.sapo.pt/comprar-apartamento-t3-amadora-mina-de-agua-bf234c4d-6896-11f0-9e61-060000000056.html,T3,Usado,65.0,289000.0,,,4446.15,"Mina de Água, Amadora, Distrito de Lisboa",
2,11,"Ver Apartamento T3 para comprar na Amadora, Mina de Água",https://casa.sapo.pt/comprar-apartamento-t3-amadora-mina-de-agua-6a6611c4-76ae-11f0-9e61-060000000056.html,T3,Em construção,91.0,390000.0,,,4285.71,"Mina de Água, Amadora, Distrito de Lisboa",
2,12,"Ver Apartamento T3 para comprar na Amadora, Mina de Água",https://casa.sapo.pt/comprar-apartamento-t3-amadora-mina-de-agua-1f4513c7-25b7-11f0-8add-060000000054.html,T3,Novo,80.0,295000.0,,,3687.5,"Mina de Água, Amadora, Distrito de Lisboa",
2,13,"Ver Apartamento T2 para comprar na Amadora, Mina de Água",https://casa.sapo.pt/comprar-apartamento-t2-amadora-mina-de-agua-a25417b1-8349-11f0-b3d3-060000000057.html,T2,Recuperado,60.0,269000.0,,,4483.33,"Mina de Água, Amadora, Distrito de Lisboa",
2,14,"Ver Apartamento T3 para comprar na Amadora, Águas Livres",https://casa.sapo.pt/comprar-apartamento-t3-amadora-aguas-livres-6e44c124-57ee-11f0-8add-060000000054.html,T3,Por recuperar,86.0,299900.0,,,3487.21,"Águas Livres, Amadora, Distrito de Lisboa",
2,15,"Ver Apartamento para comprar na Amadora, Mina de Água",https://casa.sapo.pt/comprar-apartamento-t2-amadora-mina-de-agua-840500ee-6741-11f0-8add-060000000054.html,,Usado,80.0,279000.0,,,3487.5,"Mina de Água, Amadora, Distrito de Lisboa",
2,16,"Ver Apartamento para comprar na Amadora, Mina de Água",https://casa.sapo.pt/comprar-apartamento-t2-amadora-mina-de-agua-7b96cca1-686f-11f0-8247-060000000058.html,,Recuperado,80.0,269000.0,,,3362.5,"Mina de Água, Amadora, Distrito de Lisboa",
2,17,"Ver Apartamento T3 para comprar na Amadora, Águas Livres, Damaia de Baixo",https://casa.sapo.pt/comprar-apartamento-t3-amadora-aguas-livres-damaia-de-baixo-43f23f5e-89f9-11f0-a463-060000000052.html,T3,Recuperado,110.0,349000.0,,,3172.73,"Damaia de Baixo, Águas Livres, Amadora, Distrito de Lisboa",
2,18,"Ver Apartamento T1 para comprar / permutar na Amadora, Águas Livres, Damaia de Baixo",https://casa.sapo.pt/comprar-permutar-apartamento-t1-amadora-aguas-livres-damaia-de-baixo-1c52a19b-7857-11f0-b3d3-060000000057.html,T1,Recuperado,42.0,199500.0,,,4750.0,"Damaia de Baixo, Águas Livres, Amadora, Distrito de Lisboa",
2,19,"Ver Apartamento T2 para comprar na Amadora, Mina de Água",https://casa.sapo.pt/comprar-apartamento-t2-amadora-mina-de-agua-07c0ffcd-8d09-11f0-8359-060000000051.html,T2,Renovado,56.0,269000.0,,,4803.57,"Mina de Água, Amadora, Distrito de Lisboa",
